id,hp,price
370,59,3009
371,29,1566
372,43,1247
373,33,3201
374,28,1624
375,33,2343
376,27,2106
377,60,1320
378,57,114
379,28,644
380,30,1920
381,57,2166
382,41,2255
383,52,1404
384,46,1840
385,55,165
386,59,3776
387,34,1802
388,37,1739
389,35,2695
390,60,1560
391,57,4047
392,40,1200
393,40,3320
394,48,576
395,49,1127
396,38,988
397,38,3420
398,27,621
399,39,2652
400,44,792
401,40,2960
402,42,1638
403,33,3267
404,44,4224
405,50,3050
406,46,46
407,27,999
408,48,3408
409,54,1944
410,50,4400
411,33,1815
412,49,1715
413,36,144
414,32,2464
415,41,1599
416,34,2992
417,49,1323
418,52,3640
419,34,204
420,39,3744
421,42,756
422,46,460
423,36,3132
424,40,3680
425,51,2244
426,54,5022
427,37,1258
428,60,3840
429,51,3570
430,53,1272
431,41,1681
432,49,4312
433,30,2970
434,55,2695
435,37,3515
436,27,918
437,27,81
438,41,533
439,35,2520
440,58,348
441,50,2200
442,40,1440
443,40,2800
444,59,4838
445,48,4464
446,27,2079
447,42,2478
448,53,2014
449,55,2915
450,28,2800
451,47,4089
452,37,3589
453,54,4482
454,50,3100
455,53,5088
456,50,4400
457,39,3744
458,51,561
459,46,2668
460,42,1638
461,60,1320
462,49,2205
463,34,1394
464,41,1599
465,30,450
466,56,1064
467,29,2726
468,51,4335
469,44,1012
470,30,240
471,29,1160
472,58,2610
473,49,784
474,32,2560
475,37,1998
476,32,3136
477,54,3294
478,46,4186
479,47,4277
480,53,1908
481,45,3555
482,39,3198
483,47,3102
484,32,2368
485,59,4720
486,56,1008
487,54,1728
488,43,860
489,61,1891
490,42,3150
491,31,2201
492,39,2574
493,48,4224
494,39,2067
495,31,155
496,57,342
497,54,1242
498,58,3654
499,27,351
500,42,2940
501,35,1540
502,33,2046
503,57,2508
504,35,3080
505,57,2679
506,44,1540
507,50,50
508,39,3471
509,51,3774
510,39,2418
511,61,4697
512,45,270
513,32,2688
514,34,2652
515,54,4536
516,41,2706
517,28,2800
518,42,2814
519,59,295
520,59,2360
521,31,1364
522,41,287
523,42,3654
524,54,756
525,38,456
526,55,605
527,52,4732
528,29,2349
529,33,66
530,35,3465
531,57,684
532,48,3600
533,30,1080
534,35,910
535,39,3822
536,48,1584
537,52,1040
538,48,624
539,61,4514
540,58,1682
541,60,2280
542,42,714
543,54,4590
544,29,1450
545,59,2242
546,34,102
547,37,1147
548,28,2688
549,32,2176
550,36,72
551,61,3050
552,56,4144
553,27,1890
554,51,2040
555,43,2064
556,52,4264
557,52,52
558,53,3445
559,27,648
560,35,735
561,36,2484
562,61,2074
563,32,960
564,29,1914
565,60,780
566,43,1849
567,55,770
568,37,3256
569,42,1596
570,43,2064
571,27,2079
572,42,1722
573,56,3360
574,35,2205
575,39,1404
576,40,3640
577,39,2535
578,43,602
579,46,966
580,58,1566
581,48,528
582,45,135
583,35,1225
584,37,2442
585,44,1408
586,49,3332
587,57,4332
588,30,2430
589,45,3330
590,49,1764
591,27,756
592,44,1980
593,28,1568
594,51,2040
595,40,1480
596,53,1272
597,31,961
598,27,675
599,35,3325
600,54,4374
601,27,945
602,54,5022
603,34,1190
604,54,5238
605,43,1892
606,40,3320
607,57,4332
608,59,708
609,55,715
610,55,2860
611,29,2059
612,34,1666
613,36,792
614,45,3735
615,28,1400
616,55,1925
617,33,627
618,53,901
619,56,952
620,28,1428
621,40,1040
622,49,3185
623,50,3500
624,44,396
625,29,2233
626,36,2844
627,45,1125
628,56,1736
629,30,870
630,36,1224
631,51,3672
632,41,1476
633,43,1118
634,30,1830
635,55,3300
636,37,2923
637,48,3984
638,40,3720
639,58,4060
640,59,4779
641,51,1122
642,39,1404
643,52,3796
644,55,1045
645,40,880
646,38,1900
647,41,2050
648,29,2378
649,51,561
650,40,800
651,28,112
652,48,1680
653,56,4648
654,37,407
655,35,2905
656,47,4042
657,53,1696
658,53,2650
659,45,2880
660,44,4048
661,40,3440
662,41,533
663,44,2552
664,42,2142
665,35,1820
666,61,2928
667,50,4800
668,55,3465
669,47,282
670,42,882
671,53,2915
672,27,1377
673,49,245
674,57,2679
675,59,1888
676,40,40
677,45,3330
678,52,1300
679,40,2760
680,49,245
681,29,2610
682,27,243
683,52,2496
684,28,2268
685,58,2668
686,42,3024
687,52,3640
688,60,2880
689,54,4698
690,49,2793
691,50,2650
692,30,2190
693,31,1116
694,39,2613
695,45,3375
696,39,1326
697,50,5000
698,59,5015
699,53,5194
700,49,1715
701,41,2214
702,49,4557
703,34,850
704,49,4165
705,34,1632
706,45,1485
707,38,3192
708,48,2736
709,57,627
710,43,1290
711,57,1254
712,38,646
713,49,3381
714,38,874
715,47,94
716,57,570
717,30,1290
718,43,4171
719,55,5060
720,53,318
721,46,3036
722,46,3818
723,38,1026
724,40,1040
725,52,2808
726,47,987
727,46,552
728,32,864
729,59,4897
730,34,2176
731,35,3500
732,33,660
733,43,3311
734,49,3577
735,29,2465
736,38,3724
737,43,3999
738,49,4312
739,33,297
740,35,1120
741,40,2120
742,55,1540
743,41,820
744,28,1512
745,40,3640
746,58,232
747,44,748
748,57,4788
749,37,1961
750,32,2944
751,51,3315
752,34,442
753,41,4018
754,56,5320
755,40,3520
756,39,3276
757,61,1891
758,53,4876
759,36,432
760,36,2844
761,50,2600
762,29,986
763,40,720
764,27,864
765,56,3024
766,45,3780
767,56,1512
768,55,990
769,31,3100
770,59,1947
771,56,3248
772,37,2960
773,54,2862
774,39,1755
775,29,87
776,37,1295
777,29,319
778,31,2356
779,52,2444
780,58,2494
781,36,396
782,61,5734
783,48,4560
784,48,1728
785,51,4947
786,35,875
787,56,3920
788,40,360
789,57,2679
790,59,1180
791,33,1122
792,44,836
793,36,1404
794,50,200
795,49,4851
796,56,1120
797,59,590
798,39,663
799,44,1408
800,55,1705
801,59,1239
802,41,1722
803,31,124
804,37,2590
805,40,3680
806,52,2496
807,59,5310
808,31,930
809,52,4004
810,28,1820
811,43,2322
812,57,3990
813,30,2550
814,50,3350
815,45,4455
816,45,1530
817,58,5278
818,37,2775
819,56,224
820,61,2257
821,57,3135
822,47,376
823,53,1590
824,53,2120
825,56,504
826,33,2871
827,60,540
828,53,1590
829,36,3600
830,47,2585
831,39,858
832,35,1260
833,54,972
834,59,2242
835,27,1620
836,37,2923
837,29,2378
838,29,754
839,57,798
840,58,4234
841,46,4002
842,43,516
843,57,3705
844,41,2050
845,54,1890
846,34,2006
847,37,999
848,41,2829
849,58,3422
850,58,4350
851,40,440
852,27,2349
853,36,72
854,33,759
855,58,5162
856,59,118
857,50,3700
858,32,192
859,49,392
860,30,1320
861,41,3772
862,39,1794
863,36,756
864,59,2596
865,31,31
866,44,2244
867,40,3840
868,40,760
869,50,4050
870,57,1026
871,47,3431
872,54,4158
873,34,170
874,29,1885
875,60,3360
876,27,297
877,29,1363
878,60,1860
879,46,2116
880,31,1209
881,36,2700
882,57,1995
883,53,5247
884,52,1404
885,50,4650
886,60,600
887,34,2652
888,52,3692
889,61,4087
890,39,3315
891,37,2812
892,41,984
893,34,1020
894,60,1020
895,36,2952
896,50,200
897,35,245
898,36,2988
899,45,3105
900,57,3192
901,42,2436
902,42,3738
903,59,2773
904,45,1665
905,28,2604
906,30,60
907,36,72
908,34,238
909,51,153
910,32,1152
911,39,3588
912,33,2409
913,35,1715
914,40,2520
915,35,490
916,36,2124
917,38,76
918,55,550
919,60,1140
920,39,2574
921,50,3450
922,40,1320
923,29,783
924,56,672
925,49,2793
926,41,205
927,49,3577
928,60,60
929,53,2014
930,52,3900
931,35,70
932,37,1517
933,28,784
934,47,4136
935,41,656
936,39,1482
937,53,5194
938,42,966
939,36,2196
940,41,2255
941,55,4785
942,46,552
943,35,3080
944,58,174
945,50,2250
946,39,1053
947,53,5141
948,45,4185
949,48,1248
950,31,3038
951,29,1943
952,60,1620
953,48,2208
954,49,3724
955,27,1161
956,51,4029
957,58,3422
958,41,2050
959,32,1248
960,35,3010
961,34,544
962,33,2013
963,49,4018
964,41,3567
965,55,4125
966,36,2412
967,52,2444
968,37,999
969,38,456
970,29,1653
971,28,336
972,33,2607
973,54,4536
974,59,1121
975,33,2640
976,31,527
977,56,4200
978,31,2635
979,43,4085
980,59,4779
981,50,3250
982,38,3458
983,51,2142
984,31,1302
985,57,2508
986,47,2256
987,46,1334
988,43,1333
989,45,3105
990,54,1458
991,40,1320
992,42,3696
993,29,551
994,35,3500
995,32,1056
996,42,630
997,53,2067
998,35,770
999,32,992
1000,33,1485
1001,47,2068
1002,37,222
1003,32,1664
1004,61,3355
1005,35,2135
1006,60,5520
1007,44,1012
1008,34,3094
1009,56,2800
1010,52,2184
1011,27,2268
1012,35,1645
1013,51,1173
1014,35,2870
1015,36,396
1016,27,1296
1017,57,684
1018,29,2291
1019,38,2850
1020,39,3432
1021,43,4128
1022,61,5429
1023,50,3350
1024,48,3696
1025,49,441
1026,55,1265
1027,34,3094
1028,29,2030
1029,34,952
1030,30,2310
1031,58,4466
1032,46,1610
1033,31,2542
1034,52,4420
1035,59,2655
1036,50,2150
1037,48,1728
1038,34,3366
1039,41,369
1040,28,2520
1041,49,196
1042,37,777
1043,54,108
1044,28,644
1045,30,1920
1046,31,2666
1047,37,2035
1048,49,4067
1049,40,2800
1050,46,2254
1051,56,4872
1052,37,555
1053,54,5292
1054,60,1380
1055,39,3354
1056,46,138
1057,29,1711
1058,42,4200
1059,48,3360
1060,46,690
1061,57,2451
1062,27,1539
1063,34,1360
1064,42,2184
1065,43,2580
1066,52,208
1067,50,4650
1068,29,1798
1069,49,833
1070,39,1443
1071,35,2170
1072,30,2580
1073,52,2652
1074,33,924
1075,39,1872
1076,61,976
1077,60,1620
1078,44,1408
1079,41,984
1080,59,3481
1081,55,1595
1082,59,1711
1083,51,1530
1084,55,935
1085,56,4872
1086,50,1800
1087,55,1210
1088,35,1995
1089,58,4002
1090,28,2604
1091,27,837
1092,32,2880
1093,57,912
1094,38,2546
1095,32,128
1096,41,1230
1097,40,360
1098,57,4332
1099,27,864
1100,54,3834
1101,46,1978
1102,48,1920
1103,34,3400
1104,30,2550
1105,31,1891
1106,54,2538
1107,50,300
1108,36,468
1109,60,180
1110,33,3234
1111,46,1426
1112,47,1034
1113,34,884
1114,48,1872
1115,37,2627
1116,51,51
1117,39,1833
1118,61,4148
1119,32,3104
1120,48,3984
1121,40,3600
1122,55,2145
1123,59,118
1124,38,570
1125,50,1850
1126,56,4984
1127,51,2448
1128,49,3479
1129,50,1750
1130,52,1196
1131,56,4144
1132,30,2340
1133,49,4263
1134,50,2300
1135,28,1400
1136,44,2596
1137,41,3034
1138,57,3021
1139,36,432
1140,52,2080
1141,35,2205
1142,39,3081
1143,40,560
1144,40,3280
1145,38,2204
1146,60,4020
1147,28,952
1148,34,3366
1149,45,4365
1150,58,3712
1151,50,4150
1152,36,2808
1153,37,1369
1154,51,1275
1155,52,676
1156,37,3515
1157,44,440
1158,54,1674
1159,37,851
1160,27,135
1161,38,988
1162,57,4902
1163,61,3233
1164,33,561
1165,54,3618
1166,53,2650
1167,27,1161
1168,39,1014
1169,46,920
1170,53,1643
1171,29,1044
1172,51,3876
1173,27,621
1174,35,2240
1175,61,549
1176,41,533
1177,52,3640
1178,28,1596
1179,55,2530
1180,53,4028
1181,35,3430
1182,39,312
1183,50,4900
1184,59,2360
1185,59,3481
1186,45,2520
1187,55,4455
1188,57,3363
1189,52,2808
1190,38,1406
1191,30,2340
1192,40,1440
1193,31,2170
1194,41,3157
1195,42,3696
1196,55,5280
1197,53,318
1198,42,2436
1199,36,2376
1200,37,1147
1201,46,1334
1202,31,2728
1203,30,2850
1204,35,385
1205,58,4292
1206,39,1716
1207,44,308
1208,55,220
1209,61,183
1210,27,2673
1211,41,1927
1212,47,4230
1213,46,1748
1214,36,2340
1215,52,4576
1216,41,2132
1217,29,2523
1218,38,1748
1219,32,1856
1220,49,1372
1221,45,1350
1222,41,1435
1223,36,216
1224,37,333
1225,33,2739
1226,29,1508
1227,28,140
1228,43,4214
1229,39,2808
1230,36,2196
1231,28,1848
1232,56,2464
1233,34,1122
1234,57,3420
1235,48,3120
1236,50,4450
1237,28,364
1238,50,800
1239,40,2400
1240,45,3555
1241,34,1870
1242,61,5307
1243,61,4209
1244,40,800
1245,50,2900
1246,49,1225
1247,45,1935
1248,58,812
1249,54,2160
1250,33,891
1251,35,1750
1252,61,5307
1253,57,2451
1254,54,2376
1255,43,1419
1256,31,3038
1257,44,88
1258,55,3465
1259,47,1316
1260,31,1178
1261,33,594
1262,28,336
1263,55,2640
1264,38,2964
1265,45,855
1266,60,2700
1267,60,5760
1268,44,3960
1269,54,4752
1270,27,918
1271,30,720
1272,42,3150
1273,27,2052
1274,57,4731
1275,41,3485
1276,56,1456
1277,50,3600
1278,54,4158
1279,46,1426
1280,55,1595
1281,41,246
1282,34,2618
1283,60,4680
1284,36,720
1285,54,2970
1286,27,216
1287,40,3880
1288,60,60
1289,33,1716
1290,44,4400
1291,41,1845
1292,37,1036
1293,61,2135
1294,39,1443
1295,28,2520
1296,53,265
1297,42,378
1298,38,2546
1299,56,4200
1300,60,5220
1301,37,2516
1302,50,3200
1303,32,2656
1304,58,4408
1305,33,33
1306,32,2016
1307,53,4929
1308,47,1927
1309,42,3192
1310,37,2405
1311,34,3366
1312,61,3050
1313,44,3300
1314,48,1296
1315,59,1829
1316,49,3381
1317,52,5148
1318,45,3330
1319,45,2160
1320,39,624
1321,46,2576
1322,45,675
1323,35,1960
1324,50,1050
1325,51,918
1326,54,432
1327,53,3180
1328,48,3312
1329,41,3362
1330,40,2280
1331,48,1200
1332,36,216
1333,41,3157
1334,27,2646
1335,30,2670
1336,57,912
1337,53,53
1338,44,3916
1339,41,984
1340,45,1620
1341,52,4212
1342,27,810
1343,35,3430
1344,37,1036
1345,42,1890
1346,31,527
1347,50,3900
1348,55,715
1349,37,3478
1350,42,4116
1351,34,1496
1352,33,2871
1353,33,1155
1354,29,1450
1355,52,5044
1356,57,5358
1357,41,2214
1358,50,950
1359,32,2048
1360,47,1363
1361,45,3240
1362,28,308
1363,58,580
1364,31,62
1365,53,4717
1366,37,3367
1367,55,5005
1368,57,1026
1369,57,2109
1370,56,1400
1371,50,1800
1372,52,4940
1373,51,1020
1374,43,2881
1375,56,2296
1376,47,940
1377,33,1617
1378,47,2632
1379,53,2491
1380,47,4653
1381,53,371
1382,39,1092
1383,35,2555
1384,59,5664
1385,34,1598
1386,54,324
1387,57,1995
1388,46,2944
1389,32,192
1390,31,2480
1391,55,4565
1392,58,4002
1393,54,5022
1394,31,775
1395,55,2420
1396,38,228
1397,29,464
1398,35,1400
1399,34,884
1400,58,1798
1401,40,2200
1402,49,3185
1403,57,2793
1404,59,1121
1405,35,210
1406,54,4482
1407,43,4214
1408,43,3569
1409,38,1178
1410,27,2430
1411,57,5643
1412,58,2204
1413,31,2046
1414,56,1400
1415,61,244
1416,35,560
1417,33,1188
1418,38,3078
1419,60,3840
1420,27,1026
1421,27,1539
1422,37,2109
1423,55,5060
1424,28,1372
1425,49,3381
1426,58,4118
1427,42,3192
1428,50,1550
1429,54,2484
1430,35,1645
1431,40,3160
1432,56,4592
1433,46,276
1434,27,162
1435,40,2280
1436,60,5280
1437,58,870
1438,35,3150
1439,52,2548
1440,55,5500
1441,52,2392
1442,56,1400
1443,30,1200
1444,45,3330
1445,30,1470
1446,50,4000
1447,33,2112
1448,28,924
1449,28,1316
1450,52,4680
1451,40,1640
1452,34,2040
1453,41,1968
1454,48,48
1455,60,960
1456,30,1020
1457,35,2030
1458,58,3306
1459,46,1426
1460,58,928
1461,27,945
1462,38,2052
1463,42,3192
1464,53,1272
1465,41,574
1466,37,1665
1467,49,1470
1468,43,1290
1469,41,2378
1470,34,3162
1471,27,2106
1472,27,783
1473,52,2444
1474,59,5251
1475,57,2793
1476,51,1785
1477,30,750
1478,58,1856
1479,28,1540
1480,27,837
1481,48,2352
1482,42,2352
1483,48,2496
1484,44,968
1485,29,1160
1486,51,1224
1487,45,2610
1488,30,1020
1489,44,2464
1490,58,2610
1491,33,627
1492,39,2223
1493,54,3078
1494,35,735
1495,40,3240
1496,61,3294
1497,61,122
1498,29,1914
1499,56,2520
1500,61,4331
1501,49,3528
1502,49,735
1503,43,4128
1504,54,1350
1505,41,3608
1506,28,588
1507,56,1904
1508,57,2679
1509,35,3220
1510,45,1215
1511,34,2210
1512,55,3355
1513,54,1836
1514,53,3922
1515,43,2537
1516,36,3492
1517,47,4465
1518,28,308
1519,30,1500
1520,30,870
1521,35,245
1522,58,1276
1523,52,2236
1524,61,1220
1525,47,799
1526,41,2214
1527,57,4788
1528,61,244
1529,54,2808
1530,58,1276
1531,42,1722
1532,50,2350
1533,60,1920
1534,41,3772
1535,41,615
1536,51,4641
1537,40,1560
1538,36,2448
1539,36,3096
1540,41,492
1541,53,1590
1542,41,3690
1543,51,3519
1544,30,1770
1545,59,3422
1546,31,465
1547,29,1972
1548,59,531
1549,45,4275
1550,29,2726
1551,55,2640
1552,40,2920
1553,51,3366
1554,60,1080
1555,42,630
1556,32,1696
1557,39,2652
1558,29,1044
1559,56,3528
1560,54,3186
1561,60,1500
1562,30,2820
1563,57,2223
1564,47,2350
1565,43,3870
1566,44,748
1567,41,328
1568,47,1833
1569,60,480
1570,31,1457
1571,59,1829
1572,58,928
1573,61,2135
1574,57,2565
1575,44,3432
1576,36,216
1577,56,4312
1578,61,3416
1579,37,3478
1580,40,520
1581,39,3900
1582,54,1674
1583,35,210
1584,60,5760
1585,30,2520
1586,51,4692
1587,34,2924
1588,33,2838
1589,32,1056
1590,33,462
1591,31,1798
1592,27,1350
1593,40,400
1594,37,1998
1595,29,1740
1596,49,3773
1597,51,3009
1598,58,2900
1599,50,1350
1600,47,3619
1601,57,5073
1602,32,2720
1603,28,1232
1604,53,3233
1605,31,1488
1606,41,410
1607,34,2312
1608,42,1680
1609,43,3784
1610,28,112
1611,41,3772
1612,29,2175
1613,52,312
1614,57,2223
1615,49,2205
1616,35,805
1617,55,2530
1618,57,3306
1619,30,2790
1620,51,1581
1621,59,2478
1622,52,2964
1623,28,980
1624,31,93
1625,58,174
1626,34,3060
1627,35,1155
1628,30,2790
1629,51,4182
1630,48,2688
1631,28,1764
1632,48,384
1633,31,2573
1634,28,1344
1635,46,2622
1636,33,2772
1637,50,2750
1638,45,1080
1639,50,4300
1640,43,516
1641,49,539
1642,40,3480
1643,60,1020
1644,58,5684
1645,38,2204
1646,27,810
1647,44,3916
1648,52,3848
1649,46,3542
1650,29,1189
1651,52,416
1652,30,870
1653,28,644
1654,46,1518
1655,42,294
1656,54,2754
1657,36,2088
1658,32,1024
1659,45,765
1660,27,432
1661,56,728
1662,31,1457
1663,50,400
1664,43,4214
1665,44,968
1666,55,3685
1667,56,1064
1668,55,4180
1669,58,2668
1670,44,4356
1671,57,3648
1672,58,3364
1673,27,702
1674,60,600
1675,31,2821
1676,46,3036
1677,40,1520
1678,46,138
1679,49,3724
1680,40,1280
1681,52,312
1682,31,2635
1683,40,3400
1684,47,3713
1685,42,546
1686,54,2160
1687,58,5510
1688,57,2850
1689,58,2552
1690,58,3422
1691,38,722
1692,49,4459
1693,32,448
1694,54,4374
1695,49,4655
1696,51,3264
1697,58,3828
1698,33,1683
1699,53,2279
1700,49,3626
1701,51,1377
1702,31,1829
1703,51,4029
1704,52,1664
1705,40,2280
1706,43,3483
1707,40,2680
1708,44,2860
1709,49,3283
1710,57,5529
1711,28,728
1712,27,81
1713,53,1537
1714,49,2548
1715,39,819
1716,56,616
1717,58,5220
1718,36,900
1719,47,94
1720,54,3726
1721,53,4505
1722,51,2295
1723,44,1276
1724,50,3350
1725,61,61
1726,30,2370
1727,38,2508
1728,32,1472
1729,61,5307
1730,37,592
1731,34,1802
1732,42,2520
1733,52,1872
1734,28,1512
1735,31,2170
1736,43,4300
1737,59,2183
1738,48,3216
1739,27,1512
1740,51,2550
1741,61,610
1742,41,2624
1743,27,459
1744,42,84
1745,56,3024
1746,47,47
1747,61,1037
1748,59,944
1749,54,1944
1750,58,2146
1751,48,48
1752,57,4560
1753,27,2160
1754,41,2952
1755,36,1368
1756,37,1702
1757,59,2950
1758,47,3290
1759,30,1560
1760,36,3204
1761,34,1360
1762,47,235
1763,41,3075
1764,30,1770
1765,37,962
1766,38,380
1767,41,492
1768,59,1062
1769,38,3344
1770,55,2090
1771,44,3960
1772,49,637
1773,37,2072
1774,61,6039
1775,53,4293
1776,57,1767
1777,54,918
1778,38,2888
1779,52,4056
1780,60,3720
1781,53,3816
1782,33,2541
1783,59,4956
1784,59,2773
1785,49,3136
1786,40,2920
1787,43,4171
1788,32,1888
1789,39,2574
1790,53,4081
1791,28,1652
1792,59,2478
1793,42,2730
1794,43,3526
1795,34,2550
1796,37,3367
1797,34,3400
1798,52,4680
1799,30,2700
1800,46,2300
1801,37,259
1802,30,1140
1803,54,4050
1804,40,1440
1805,33,2409
1806,54,4914
1807,44,396
1808,36,3420
1809,32,1568
1810,39,117
1811,33,2112
1812,55,2475
1813,38,1102
1814,49,3626
1815,27,1593
1816,27,810
1817,51,867
1818,45,2700
1819,35,1540
1820,59,1593
1821,56,448
1822,51,3162
1823,51,4386
1824,50,950
1825,44,2816
1826,34,1156
1827,39,2067
1828,54,270
1829,39,312
1830,58,4698
1831,31,682
1832,37,3145
1833,49,3332
1834,57,4446
1835,38,1140
1836,55,2695
1837,46,3312
1838,40,3840
1839,50,4750
1840,44,1012
1841,48,2448
1842,59,1062
1843,40,600
1844,59,4779
1845,59,2360
1846,30,2790
1847,27,2376
1848,31,744
1849,47,893
1850,60,600
1851,47,2491
1852,46,1242
1853,46,920
1854,42,2730
1855,55,3905
1856,38,1558
1857,31,2325
1858,35,2450
1859,28,1932
1860,47,3995
1861,34,1802
1862,39,234
1863,49,4263
1864,37,2109
1865,39,1833
1866,59,2183
1867,34,2312
1868,37,1258
1869,38,1102
1870,51,4794
1871,60,4800
1872,48,432
1873,37,1665
1874,60,240
1875,36,36
1876,42,2562
1877,48,3552
1878,31,1674
1879,61,3599
1880,43,3870
1881,28,2240
1882,49,3920
1883,58,5510
1884,53,3975
1885,53,4293
1886,40,2400
1887,59,2596
1888,27,162
1889,27,1863
1890,43,860
1891,28,1120
1892,31,3007
1893,51,4233
1894,46,2024
1895,41,3772
1896,28,2772
1897,61,5063
1898,43,1462
1899,47,2303
1900,28,1232
1901,38,3192
1902,34,34
1903,29,2146
1904,56,3920
1905,41,2706
1906,42,3318
1907,43,258
1908,27,1647
1909,34,714
1910,38,1520
1911,31,93
1912,40,1680
1913,54,4482
1914,31,775
1915,48,912
1916,41,2337
1917,43,559
1918,48,4320
1919,32,1920
1920,50,4650
1921,57,1482
1922,59,472
1923,44,3124
1924,43,3139
1925,51,5049
1926,32,2272
1927,46,2668
1928,46,552
1929,27,2538
